Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5882936507936508,0.6718266253869969,0.6813186813186813,0.676539360872954
Decision Tree,0.5357142857142857,0.6771488469601677,0.5070643642072213,0.5798922800718133
Random Forest,0.6200396825396826,0.6671052631578948,0.7959183673469388,0.7258410880458125
XGBoost,0.6408730158730159,0.6703841387856257,0.8492935635792779,0.7493074792243767
